text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"May your time with loved ones be full of peace, laughter, and joy. Merry Christmas and Happy Holidays. With love, f… https://t.co/BA9Oo0omOZ",FALSE,38279,NA,2019-12-25T16:26:28Z,TRUE,NA,1209873051946491906,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",JoeBiden,3169,FALSE,FALSE,NA,NA
Hope you all are having as much fun this holiday as I did answering these questions: https://t.co/hOYtYs8mCz,FALSE,8085,NA,2019-12-24T21:58:00Z,FALSE,NA,1209594095573884928,NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",JoeBiden,1414,FALSE,FALSE,NA,NA
There is no denying the existential threat of climate change — and time is running out to address it. If we give Do… https://t.co/Cqmbdf5dhO,FALSE,9497,NA,2019-12-24T01:24:43Z,TRUE,NA,1209283729610424321,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",JoeBiden,2589,FALSE,FALSE,NA,NA
It’s simple: companies should have to compete for workers just like they compete for customers. We should get rid o… https://t.co/ERHBAFcapS,FALSE,2001,NA,2019-12-24T00:05:00Z,TRUE,NA,1209263668736745473,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,487,FALSE,FALSE,NA,NA
"Our firefighters work tirelessly to make our communities safer, better places to live. We need a president who supp… https://t.co/xRIir5Eoby",FALSE,5498,NA,2019-12-23T23:05:00Z,TRUE,NA,1209248569565368321,NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",JoeBiden,1024,FALSE,FALSE,NA,NA
We can’t let the scourge of gun violence tear our communities apart any longer. We need to take on the @NRA and pas… https://t.co/YMebPbwLDC,FALSE,2758,NA,2019-12-23T21:04:42Z,TRUE,NA,1209218293841743872,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",JoeBiden,675,FALSE,FALSE,NA,NA
Donald Trump should release his taxes or shut up about corruption. https://t.co/5G8VwWsyx0,FALSE,58898,NA,2019-12-23T18:40:00Z,FALSE,NA,1209181879460450304,NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",JoeBiden,15573,FALSE,FALSE,NA,NA
"After the most corrupt administration in modern American history, the next president faces a big task: restoring fa… https://t.co/3le6xZ2nKl",FALSE,4108,NA,2019-12-23T16:30:00Z,TRUE,NA,1209149164090744833,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,1026,FALSE,FALSE,NA,NA
We are in a battle for the soul of this nation. We can’t sit by while hate crimes surge — fueled by a president who… https://t.co/uCbcWtpJra,FALSE,25216,NA,2019-12-23T02:45:55Z,TRUE,NA,1208941777513844738,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",JoeBiden,5667,FALSE,FALSE,NA,NA
.@DrBiden and I send our warm wishes to everyone celebrating Hanukkah in the United States and around the world. Chag Sameach!,FALSE,4274,NA,2019-12-23T02:30:00Z,FALSE,NA,1208937771336753153,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,425,FALSE,FALSE,NA,NA
America's farmers are being undermined by Trump's broken promises. No one knows that better than Iowa. We need a pr… https://t.co/BprmbA128y,FALSE,4874,NA,2019-12-23T00:08:54Z,TRUE,NA,1208902263508553729,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",JoeBiden,1232,FALSE,FALSE,NA,NA
"If Donald Trump ever makes you feel like this, chip in $5 to help us get him out of the White House:… https://t.co/d73GIDpjPl",FALSE,2738,NA,2019-12-22T22:35:24Z,TRUE,NA,1208878734691975168,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",JoeBiden,488,FALSE,FALSE,NA,NA
I’ve dedicated my life to public service. We need a president who honors that duty. https://t.co/nNLb7MjZYt,FALSE,9647,NA,2019-12-22T19:15:00Z,FALSE,NA,1208828299629277190,NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",JoeBiden,1633,FALSE,FALSE,NA,NA
"Michael Cohen
Michael Flynn
Rick Gates
Paul Manafort
George Papadopoulos
Roger Stone

Donald Trump has surrounded h… https://t.co/11XjzgyRRa",FALSE,36633,NA,2019-12-22T01:53:32Z,TRUE,NA,1208566206044803077,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",JoeBiden,9386,FALSE,FALSE,NA,NA
"If anyone has reason to be angry with Republicans, it’s me. I have no love for them after the way they’ve attacked… https://t.co/rRhTzxBAoL",FALSE,17898,NA,2019-12-22T00:47:11Z,TRUE,NA,1208549507773947904,NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",JoeBiden,3165,FALSE,FALSE,NA,NA
"TJ: Stay strong

Me, Jill, and the whole Biden family are with you. Not just in spirit — for anything.

You have th… https://t.co/sqDeLvxVzn",FALSE,10952,NA,2019-12-21T20:02:20Z,TRUE,NA,1208477824258072576,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",JoeBiden,1437,FALSE,FALSE,NA,NA
"We have to rebuild the backbone of this country — the middle class. And this time, we have to ensure everyone comes… https://t.co/vcM4PLYLNI",FALSE,5023,NA,2019-12-21T19:05:53Z,TRUE,NA,1208463620377661442,NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",JoeBiden,1045,FALSE,FALSE,NA,NA
"I don’t care whether you’re an undocumented immigrant, an asylum seeker, or born in the US. Forcing people to choos… https://t.co/rqnAbgSNv4",FALSE,27552,NA,2019-12-21T16:20:53Z,TRUE,NA,1208422096474390528,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",JoeBiden,7686,FALSE,FALSE,NA,NA
"When Champ and Major go to the vet, I want them to get the best care, and for their caretakers to be paid a fair wa… https://t.co/bkOb345vLS",FALSE,1818,NA,2019-12-20T22:28:51Z,TRUE,NA,1208152309550714882,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",JoeBiden,339,FALSE,FALSE,NA,NA
It has now been nearly 300 days. It’s time for @senatemajldr McConnell to do his job and bring this bill up for a v… https://t.co/K7UdRtDXai,FALSE,14124,NA,2019-12-20T19:06:01Z,TRUE,NA,1208101266280386560,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",JoeBiden,3666,FALSE,FALSE,NA,NA
I’m more optimistic about our future today than I was when I got elected to the Senate as a 29-year-old. If we come… https://t.co/viwKlBksPx,FALSE,15716,NA,2019-12-20T17:47:07Z,TRUE,NA,1208081407215652870,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",JoeBiden,2059,FALSE,FALSE,NA,NA
"We had a great night at tonight’s #DemDebate, and I really appreciate your support. Let’s keep this momentum going… https://t.co/KsmqlsWvLK",FALSE,6959,NA,2019-12-20T05:05:48Z,TRUE,NA,1207889817461243904,NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",JoeBiden,1236,FALSE,FALSE,NA,NA
