,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,scores,compound,comp_score
409,"I don't usually Google myself, but I made an exception for @WIRED’s Autocomplete Interview. Check it out: https://t.co/viqeb85Kjm",False,17931,,2020-05-21T21:34:43Z,False,,1263584031251152896,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",JoeBiden,4746,False,False,,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
410,Donald Trump’s inaction cost lives. https://t.co/Pdeb7HVCj3,False,26863,,2020-05-21T19:25:00Z,False,,1263551383904477185,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,8754,False,False,,,"{'neg': 0.286, 'neu': 0.714, 'pos': 0.0, 'compound': -0.25}",-0.25,neg
411,"While we hope to soon return to some sense of normalcy in our lives, we cannot allow ourselves to return to the eve… https://t.co/AODiskfANL",False,16933,,2020-05-21T18:33:36Z,True,,1263538448507588613,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",JoeBiden,4139,False,False,,,"{'neg': 0.063, 'neu': 0.828, 'pos': 0.109, 'compound': 0.3036}",0.3036,pos
412,I promise you this: A Biden Administration will listen to scientists and heed their advice — not silence them. https://t.co/hV4HPOmGDV,False,46376,,2020-05-21T16:40:00Z,False,,1263509860395610113,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,10485,False,False,,,"{'neg': 0.0, 'neu': 0.874, 'pos': 0.126, 'compound': 0.3182}",0.3182,pos
413,"When I launched my campaign, I said we were in a battle for the soul of the nation — we’re seeing that soul on full… https://t.co/Cgg7xBKifl",False,73643,,2020-05-21T14:25:00Z,True,,1263475886445039616,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,12981,False,False,,,"{'neg': 0.108, 'neu': 0.83, 'pos': 0.062, 'compound': -0.2732}",-0.2732,neg
414,This shouldn’t be a partisan issue. We need to ensure every single eligible American can safely make their voice he… https://t.co/EDOCKosyuY,False,45028,,2020-05-21T01:30:00Z,True,,1263280851128930304,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,11026,False,False,,,"{'neg': 0.0, 'neu': 0.756, 'pos': 0.244, 'compound': 0.7003}",0.7003,pos
415,We don't have a food shortage problem — we have a leadership problem. https://t.co/eFpJ8PGHGM,False,35429,,2020-05-21T00:45:00Z,False,,1263269526721855488,,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",JoeBiden,8373,False,False,,,"{'neg': 0.357, 'neu': 0.528, 'pos': 0.115, 'compound': -0.5661}",-0.5661,neg
416,Donald Trump is using a global health crisis as an excuse to deport children and continue separating families. It's… https://t.co/MiOYHDX8UU,False,15992,,2020-05-21T00:05:56Z,True,,1263259697177677826,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",JoeBiden,5181,False,False,,,"{'neg': 0.183, 'neu': 0.759, 'pos': 0.058, 'compound': -0.5859}",-0.5859,neg
417,"Folks, I’m excited to share that we’re hosting a grassroots fundraiser with @PeteButtigieg. Grassroots donors are t… https://t.co/uipXsWu45H",False,9203,,2020-05-20T23:30:00Z,True,,1263250653318656002,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,2519,False,False,,,"{'neg': 0.0, 'neu': 0.765, 'pos': 0.235, 'compound': 0.5574}",0.5574,pos
418,"My heart and Jill's go out to the people of Midland, Michigan, experiencing another crisis in the midst of this pan… https://t.co/UvJQmFCZMT",False,19740,,2020-05-20T22:20:00Z,True,,1263233036243603457,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,4382,False,False,,,"{'neg': 0.163, 'neu': 0.837, 'pos': 0.0, 'compound': -0.6249}",-0.6249,neg
419,Donald Trump needs to do his job and implement a national testing strategy.,False,96816,,2020-05-20T21:12:00Z,False,,1263215923374305280,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,14692,False,False,,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
420,"From my home in Delaware to Milwaukee, Wisconsin — join us for a virtual rally at 3:30 PM CT:… https://t.co/H6VeskBC6q",False,5494,,2020-05-20T19:13:00Z,True,,1263185976089890816,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,1526,False,False,,,"{'neg': 0.0, 'neu': 0.885, 'pos': 0.115, 'compound': 0.296}",0.296,pos
